shortZip,Freq
1002,1
1015,1
10013,1
17013,1
30306,1
33704,1
33803,1
34113,1
48104,1
49259,1
54818,1
64563,1
70119,1
7078,1
72055,1
78738,1
80304,1
83014,1
90291,1
90402,1
90405,1
91407,1
91547,1
91791,1
92101,1
92134,1
92270,1
92657,1
92705,1
94024,1
94146,1
94151,1
94509,1
94520,1
94539,1
94550,1
94552,1
94571,1
94573,1
94612,1
94948,1
94955,1
94979,1
95033,1
95070,1
95112,1
95132,1
95136,1
95354,1
95377,1
95443,1
95444,1
95481,1
95608,1
95621,1
95742,1
95758,1
95814,1
95835,1
95864,1
95973,1
96596,1
98112,1
11040,2
20002,2
20007,2
30269,2
34236,2
37212,2
70771,2
81432,2
89512,2
90025,2
90476,2
90504,2
90601,2
92342,2
93430,2
94038,2
94055,2
94304,2
94506,2
94525,2
94542,2
94545,2
94913,2
94966,2
95003,2
95008,2
95116,2
95129,2
95130,2
95135,2
95382,2
95407,2
95419,2
95423,2
95473,2
95560,2
95630,2
95659,2
95661,2
95820,2
95821,2
95841,2
96597,2
96817,2
4122,3
10024,3
91765,3
94023,3
94027,3
94028,3
94043,3
94061,3
94063,3
94130,3
94303,3
94505,3
94526,3
94541,3
94786,3
94849,3
94907,3
94977,3
94981,3
95020,3
95060,3
95482,3
95618,3
95687,3
95746,3
95776,3
6870,4
78750,4
93708,4
94020,4
94126,4
94177,4
94306,4
94504,4
94538,4
94555,4
94561,4
94566,4
94576,4
94578,4
94865,4
94953,4
95057,4
95124,4
95422,4
95492,4
95620,4
95695,4
95762,4
96930,4
91350,5
91423,5
92129,5
94037,5
94041,5
94534,5
94585,5
94587,5
94588,5
94589,5
95123,5
98065,5
6840,6
90027,6
94517,6
94574,6
94580,6
94906,6
95051,6
95426,6
95448,6
95843,6
49123,7
66088,7
94147,7
94164,7
94507,7
94531,7
94544,7
95812,7
1002,8
94040,8
94087,8
94104,8
94533,8
94592,8
94619,8
94933,8
94940,8
95401,8
10021,9
94018,9
94513,9
94519,9
94572,9
95747,9
94301,10
94551,10
94583,10
94968,10
95118,10
94086,11
94119,11
94510,11
94976,11
95117,11
95402,11
89450,12
94606,12
94963,12
95125,12
95405,12
95616,12
95688,12
94518,13
94591,13
94605,13
94704,13
94946,13
94978,13
95014,13
95032,13
95819,13
94022,14
94030,14
94556,14
94568,14
94967,14
94005,15
94503,15
94515,15
94601,15
94062,16
94577,16
94937,16
94938,16
94101,17
94582,17
94597,17
94928,17
95050,17
95403,17
94565,18
94595,18
94910,18
94931,18
94598,19
94973,19
95452,19
94909,20
90272,21
90803,21
94521,22
94590,22
94596,22
94523,23
95409,23
94070,24
94401,24
94708,25
94710,25
94065,26
94970,26
95436,26
94080,27
95472,27
94025,28
94124,29
94019,30
94559,30
94564,30
94956,30
94111,32
94502,32
94803,32
94914,32
94002,33
94403,33
94404,33
94806,33
94546,34
94807,35
94709,37
94607,41
94924,41
94553,42
94402,43
94134,46
94549,47
94547,48
94158,53
94801,54
94805,59
94010,60
95404,60
94703,62
94014,64
94066,66
94044,69
94942,71
94558,72
95476,76
94563,79
94609,82
94015,84
94108,84
94608,86
94705,88
94103,98
94602,101
94105,103
94707,111
94611,114
94618,116
94702,117
94610,120
94804,140
94102,144
94132,154
94501,161
94706,163
94112,170
94954,171
94952,172
94107,248
94957,270
94530,278
94133,336
94127,350
94945,427
94949,491
94116,518
94930,522
94129,538
94947,608
94110,698
94131,732
94109,896
94939,955
94122,1018
94114,1021
94960,1268
94117,1292
94115,1335
94904,1472
94121,1490
94925,1493
94903,1771
94920,2096
94118,2125
94123,2135
94901,2506
94965,3064
94941,5477
