ID,Level,ZIP Code,Visitation Date,Entry Time
1,Family Membership,94901,06/26/2015,10:09
1,Family Membership,94901,3/28/2015,9:40 AM
1,Family Membership,94901,4/12/2015,10:16 AM
1,Family Membership,94901,2/16/2015,10:36 AM
1,Family Membership,94901,4/12/2015,10:39 AM
1,Family Membership,94901,6/5/2015,2:57 PM
2,Family Membership,94930,11/20/2014,10:11 AM
2,Family Membership,94930,2/26/2015,10:49 AM
2,Family Membership,94930,4/16/2015,11:42 AM
3,Family Access Membership,94954,7/23/2015,10:11 AM
3,Family Access Membership,94954,8/19/2015,10:12 AM
4,Family Membership,94115,9/1/2015,10:36 AM
5,Family Membership,94118,7/21/2015,12:09 PM
6,Family Membership,94941,9/6/2014,9:51 AM
6,Family Membership,94941,5/2/2015,10:08 AM
6,Family Membership,94941,10/5/2014,11:18 AM
6,Family Membership,94941,10/11/2014,11:33 AM
6,Family Membership,94941,11/8/2014,11:50 AM
6,Family Membership,94941,1/24/2015,12:02 PM
6,Family Membership,94941,12/31/2014,12:23 PM
6,Family Membership,94941,4/30/2015,1:15 PM
6,Family Membership,94941,5/26/2015,1:23 PM
6,Family Membership,94941,5/10/2015,1:25 PM
6,Family Membership,94941,5/7/2015,2:17 PM
7,Family Membership,94941,6/29/2015,1:54 PM
7,Family Membership,94941,8/8/2015,11:45 AM
8,Family Membership,94609,8/1/2015,12:56 PM
9,Family Membership,94402,7/18/2015,12:53 PM
10,Family Membership,94518,7/29/2015,11:03 AM
10,Family Membership,94518,8/27/2015,11:34 AM
11,Family Membership,94941,6/10/2015,9:43 AM
11,Family Membership,94941,7/29/2015,10:39 AM
11,Family Membership,94941,8/13/2015,10:32 AM
12,Family Membership,94116,9/24/2014,10:16 AM
13,Family Membership,94903,6/15/2015,7:38 AM
13,Family Membership,94903,6/23/2015,3:47 PM
13,Family Membership,94903,6/29/2015,10:29 AM
13,Family Membership,94903,4/10/2015,3:57 PM
14,Family Membership,94015,6/27/2015,9:11 AM
14,Family Membership,94015,8/21/2015,12:04 PM
14,Family Membership,94015,4/11/2015,9:20 AM
14,Family Membership,94015,3/20/2015,9:59 AM
15,Family Membership,94114,1/28/2015,9:56 AM
15,Family Membership,94114,12/28/2014,11:14 AM
15,Family Membership,94114,2/18/2015,12:14 PM
16,Family Membership,94122,11/25/2014,10:56 AM
17,Family Membership,94580,10/4/2014,10:09 AM
18,Family Membership,94904,6/11/2015,9:04 AM
18,Family Membership,94904,6/30/2015,9:38 AM
18,Family Membership,94904,7/21/2015,9:28 AM
18,Family Membership,94904,3/20/2015,9:39 AM
18,Family Membership,94904,3/3/2015,9:46 AM
18,Family Membership,94904,1/8/2015,11:05 AM
18,Family Membership,94904,11/16/2014,3:49 PM
19,Family Membership,94044,9/30/2014,1:19 PM
19,Family Membership,94044,9/30/2014,1:43 PM
20,Family Membership,94920,6/13/2015,12:19 PM
20,Family Membership,94920,7/23/2015,11:42 AM
21,Family Membership,95492,5/24/2015,11:21 AM
21,Family Membership,95492,3/29/2015,11:31 AM
22,Family Membership,94114,8/8/2015,10:14 AM
23,Family Membership,94114,6/23/2015,10:52 AM
23,Family Membership,94114,5/22/2015,9:35 AM
23,Family Membership,94114,4/15/2015,10:15 AM
23,Family Membership,94114,5/21/2015,10:49 AM
23,Family Membership,94114,6/5/2015,10:58 AM
